user_id,persona,home_city,planned_swipes,target_price,city_loyalty,chat_share,exploration_factor
605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Valencia,87,52.0,0.82,0.12,0.16
870659a6-f031-5ef2-a015-d2e46bbd73de,music_pop_rock_local,Barcelona,74,52.0,0.82,0.12,0.16
e51661bd-73c8-5ab5-bac4-3ed4c06b5091,music_pop_rock_local,Valencia,72,52.0,0.82,0.12,0.16
aea208d1-6919-5969-bb26-42eda9416163,music_pop_rock_local,Valencia,61,52.0,0.82,0.12,0.16
b1170d3e-1f39-58e0-b73a-79e3b92ef2f7,music_pop_rock_local,Madrid,75,52.0,0.82,0.12,0.16
b8041d35-f868-573b-a780-b07c65c6235a,music_pop_rock_local,Barcelona,80,52.0,0.82,0.12,0.16
6154b63b-c23c-51c5-8968-ba273cae30b7,music_pop_rock_local,Barcelona,71,52.0,0.82,0.12,0.16
bf8d12f4-ff87-553a-a1b6-ec754c9e5640,music_pop_rock_local,Barcelona,69,52.0,0.82,0.12,0.16
23ed7c29-46fe-5037-b3f5-b4deb93cfc33,music_pop_rock_local,Barcelona,66,52.0,0.82,0.12,0.16
1fcc0973-69b0-574c-bf59-a96840fae470,music_pop_rock_local,Valencia,80,52.0,0.82,0.12,0.16
fa617e73-1865-5165-b911-e373b33b5ece,music_pop_rock_local,Valencia,61,52.0,0.82,0.12,0.16
bb1dd302-1709-58c5-b3f7-d8c492d6ed3f,music_pop_rock_local,Valencia,82,52.0,0.82,0.12,0.16
8b215ae1-f49d-52e0-8836-26264e491054,music_pop_rock_local,Valencia,84,52.0,0.82,0.12,0.16
3c4c9c17-9558-598b-b56d-291c906ebc8a,music_pop_rock_local,Barcelona,80,52.0,0.82,0.12,0.16
531f8461-e75d-5dc3-9f51-b16036086da2,music_pop_rock_local,Valencia,82,52.0,0.82,0.12,0.16
e367cac9-2d73-59cf-b072-99f131bf4d66,music_pop_rock_local,Barcelona,61,52.0,0.82,0.12,0.16
c21109bb-985d-50e6-b2d0-a9ed92d4615a,music_pop_rock_local,Valencia,64,52.0,0.82,0.12,0.16
85a5df6d-1d42-588d-886f-cde4864036e9,music_pop_rock_local,Barcelona,74,52.0,0.82,0.12,0.16
146368dc-2a8a-5b45-86b8-12b944d1c935,music_pop_rock_local,Valencia,72,52.0,0.82,0.12,0.16
2e7d891a-0c2d-5b15-9e68-4ba41b72cc27,music_pop_rock_local,Barcelona,73,52.0,0.82,0.12,0.16
d8e840be-d514-5421-bfe3-b492fb8dcecb,music_pop_rock_local,Madrid,83,52.0,0.82,0.12,0.16
a871ed93-adb2-52da-9cdc-66132c716b32,music_pop_rock_local,Madrid,69,52.0,0.82,0.12,0.16
76027228-5ec4-577d-9a2b-1f9877fc07cf,music_pop_rock_local,Barcelona,69,52.0,0.82,0.12,0.16
c6c58697-68c1-5993-8eb4-053aa02cea01,music_pop_rock_local,Madrid,80,52.0,0.82,0.12,0.16
5300b316-40c5-5c15-88a3-cd38f553a3fc,music_pop_rock_local,Barcelona,87,52.0,0.82,0.12,0.16
483c8437-6743-5426-9d27-96505e1ef3e4,music_pop_rock_local,Valencia,85,52.0,0.82,0.12,0.16
da7bfd20-eda4-5a98-ad11-12b65a145938,music_pop_rock_local,Valencia,72,52.0,0.82,0.12,0.16
e743b8bb-9d29-50fd-b4e1-6238ba123b3f,music_pop_rock_local,Barcelona,77,52.0,0.82,0.12,0.16
071d73cd-3109-52dc-9943-45c7d3227a67,music_pop_rock_local,Madrid,65,52.0,0.82,0.12,0.16
cf538813-69e2-504b-b7e7-d722bb4a005e,music_pop_rock_local,Madrid,78,52.0,0.82,0.12,0.16
fd15b90b-bca0-5dc0-8d0c-0c8cd64276ed,music_pop_rock_local,Barcelona,86,52.0,0.82,0.12,0.16
e3e47834-cb33-5b12-9b79-f4922d6190e1,music_pop_rock_local,Valencia,70,52.0,0.82,0.12,0.16
e9c540a3-ff09-5d48-a995-9bf597249ffd,music_pop_rock_local,Valencia,86,52.0,0.82,0.12,0.16
ad9d4225-31e8-5d80-a5d0-b90fc1e4e7d0,music_pop_rock_local,Madrid,90,52.0,0.82,0.12,0.16
21a26f4d-2110-593c-9b65-606f68b96b94,music_pop_rock_local,Valencia,73,52.0,0.82,0.12,0.16
80d38396-04ae-502d-8e75-afef50cb2f22,flamenco_world_madrid,Madrid,64,70.0,0.74,0.18,0.2
6ddd35ca-6aa5-5134-912e-3e01d97421cf,flamenco_world_madrid,Malaga,75,70.0,0.74,0.18,0.2
1793e951-1b32-5ef5-891c-4c54355a496f,flamenco_world_madrid,Malaga,74,70.0,0.74,0.18,0.2
ab64c385-638e-56fe-9e6f-085ba599c49b,flamenco_world_madrid,Jerez de la Frontera,82,70.0,0.74,0.18,0.2
d31c034d-c249-5159-a286-4dca16d4d236,flamenco_world_madrid,Madrid,61,70.0,0.74,0.18,0.2
dab60dd1-8b8c-5461-89ba-66e219c2b682,flamenco_world_madrid,Jerez de la Frontera,82,70.0,0.74,0.18,0.2
653b1111-1063-522f-afb5-048b9e8f2a94,flamenco_world_madrid,Malaga,69,70.0,0.74,0.18,0.2
c99a1ece-24a7-53ca-9d69-f2a419e246db,flamenco_world_madrid,Jerez de la Frontera,83,70.0,0.74,0.18,0.2
f4e7edf4-55e4-5faf-807e-50e99571310d,flamenco_world_madrid,Madrid,65,70.0,0.74,0.18,0.2
535d8bfa-3720-5c0c-9200-b8557ba4af88,flamenco_world_madrid,Malaga,84,70.0,0.74,0.18,0.2
e1638b81-1646-5774-980a-81897697a2e1,flamenco_world_madrid,Malaga,67,70.0,0.74,0.18,0.2
162a1a60-48e4-5f41-9c5d-14f4a3a1002e,flamenco_world_madrid,Malaga,69,70.0,0.74,0.18,0.2
086ef8f4-f894-5f19-a7c7-4e817f3d7131,flamenco_world_madrid,Madrid,56,70.0,0.74,0.18,0.2
adfb2c6e-231b-5f4e-a389-c1daa749b8ff,flamenco_world_madrid,Jerez de la Frontera,73,70.0,0.74,0.18,0.2
0ff59fc3-d5ed-506f-bd9b-314ecfbefb86,flamenco_world_madrid,Malaga,68,70.0,0.74,0.18,0.2
795a4663-3124-5e24-bfa2-cadaaac1bb17,flamenco_world_madrid,Malaga,77,70.0,0.74,0.18,0.2
3bfe8dcf-2cca-5852-bb2a-66262fcedd77,flamenco_world_madrid,Malaga,56,70.0,0.74,0.18,0.2
4f93e253-b6c7-5406-a49d-3f37e7831978,flamenco_world_madrid,Madrid,59,70.0,0.74,0.18,0.2
f3189c55-d970-5035-a5aa-54e9172abeb1,flamenco_world_madrid,Madrid,70,70.0,0.74,0.18,0.2
215f06be-dd50-5c68-b857-7a876fbfa712,flamenco_world_madrid,Malaga,63,70.0,0.74,0.18,0.2
069a03fb-863d-5de3-9f3e-884acccd12de,flamenco_world_madrid,Malaga,57,70.0,0.74,0.18,0.2
edda1bd1-8806-5075-ad16-4b0c83f4257d,flamenco_world_madrid,Malaga,69,70.0,0.74,0.18,0.2
8981afb2-e468-5c52-993a-977ecca918f5,flamenco_world_madrid,Jerez de la Frontera,72,70.0,0.74,0.18,0.2
e473d428-d378-5b14-8aac-81389e10b470,flamenco_world_madrid,Madrid,74,70.0,0.74,0.18,0.2
33faa8e8-3048-5a36-87f5-4bd451d4c95f,flamenco_world_madrid,Madrid,55,70.0,0.74,0.18,0.2
4d760269-c9e3-5f4a-80ee-54871c1fe621,flamenco_world_madrid,Malaga,81,70.0,0.74,0.18,0.2
646f27ff-c393-58c9-ab83-094a4e1e4a72,flamenco_world_madrid,Jerez de la Frontera,79,70.0,0.74,0.18,0.2
1e7d9abf-07bb-5bac-8f74-5bd0d72410f3,flamenco_world_madrid,Malaga,66,70.0,0.74,0.18,0.2
123d458a-9a95-5af6-9d73-0b2a4f6c4710,culture_theatre_explorer,Barcelona,65,45.0,0.78,0.28,0.18
e8dbf3e3-6537-5ffe-8ab2-c89961bfc325,culture_theatre_explorer,Madrid,65,45.0,0.78,0.28,0.18
f10575ed-0860-5780-b445-94eb43595a33,culture_theatre_explorer,Malaga,81,45.0,0.78,0.28,0.18
2fe52172-62f9-57e9-98ac-f48cac53f516,culture_theatre_explorer,Barcelona,84,45.0,0.78,0.28,0.18
