message_id,user_id,persona,event_id,direction,swiped_at,dwell_ms,recommendation_context,rank_position,segmento,genero,ciudad,banda_precio
1d62e6d4-b4e5-5f79-8c2f-952f656ff14f,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ16v7SZOeb,right,2026-02-06T21:26:17Z,3922,quick_match,17,Sports,Basketball,Palma de Mallorca,medio
9685c5d6-e1f6-5d9a-a31c-6dc7a143ca3f,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q3HOZOf1kOZvUsm0,right,2026-04-18T14:57:46Z,9066,quick_match,15,Family,Exhibition,Madrid,medio
69ec520d-a61d-53e9-b796-c6969f9d4bf9,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ1k7N8w_x,right,2026-04-12T10:45:39Z,9504,quick_match,12,Music,Rock,Madrid,medio
a6b7a7da-a345-58e0-a31b-8d526ff5ed41,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qr2L6Eo8xZZvoOff,right,2026-03-24T13:08:26Z,7188,quick_match,17,Arts_Theatre,Comedy,Madrid,medio
5af4801d-f864-5cf6-bc53-8b0b692c2bf3,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18QrxbCdl-38ZvgQnt,left,2026-04-25T15:27:40Z,981,quick_match,15,Arts_Theatre,Comedy,Madrid,medio
df66c4ce-4d54-559c-87a7-f8b679def711,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18QjmSzi54iOZvPzCc,left,2026-04-12T13:23:22Z,2935,quick_match,20,Arts_Theatre,Comedy,Madrid,medio
5e25c150-57b4-5f05-adf9-64d035afcf27,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q_gT3GpfgYZvOSKK,left,2026-04-29T18:38:03Z,1271,quick_match,16,Family,Exhibition,Barcelona,alto
32e100d6-473f-57d6-97b8-3f301d6024ef,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ16vOko6F-,right,2026-04-11T22:20:12Z,8742,quick_match,9,Music,Rock,Barcelona,medio
7a31747b-767f-5856-8bcd-a02653c59d10,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ1kbPpk-N,right,2026-04-29T08:13:32Z,11064,quick_match,12,Music,Rock,Madrid,medio
fff9412f-3549-54fe-8879-d070dc5b89fa,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qr2rga6LGZZv5pfi,left,2026-04-30T14:34:17Z,1104,quick_match,16,Arts_Theatre,Comedy,Madrid,medio
f5a3a368-806d-5b95-83d1-664cde07b8a0,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qbc8EkDV-ZZv9oiJ,right,2026-04-28T11:46:33Z,4409,quick_match,13,Music,Pop,Madrid,alto
5ec72992-7404-561d-adb0-a78e5a3574d4,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q2Iv5dcOzOZiLO-z,right,2026-04-03T20:01:21Z,8748,quick_match,15,Music,Pop,L'Hospitalet de Llobregat,medio
ec2815c1-d8fc-5a97-a835-461ee5f73b7d,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qbc8EkDV-ZZv9oc1,left,2026-04-18T15:36:24Z,1567,quick_match,13,Music,Pop,Madrid,alto
c670c121-fad6-5421-bad2-bf585f860dcc,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q3HOZOf1kOZvUsRe,right,2026-05-02T00:11:24Z,8336,quick_match,15,Family,Exhibition,Madrid,medio
2c88f94e-d801-5506-9459-1138aaaa0f5f,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qbc8EkDV-ZZv9ocp,right,2026-03-02T15:21:25Z,10412,quick_match,17,Music,Pop,Madrid,alto
43e178c5-895f-5cdc-aab5-272de11c0c6e,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ16vu6ZV_S,right,2026-04-29T15:07:09Z,10215,quick_match,13,Music,Rock,Barcelona,alto
7cded2c3-1311-5056-bccf-b03389e10a08,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18QrdSqy8FmZZvghcm,right,2026-04-11T17:58:10Z,9867,quick_match,11,Music,Rock,Madrid,medio
f939263d-de79-5c03-aea4-46e047e51c61,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q3HOZOf1kOZvUsmv,right,2026-04-08T22:44:58Z,9031,quick_match,16,Family,Exhibition,Madrid,medio
e59b8b4e-02ef-5b14-9941-6e48c4016174,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qrxgu3u0KOZv7fQA,right,2026-04-18T05:01:59Z,9469,quick_match,15,Music,Rock,Madrid,bajo
c221b2f8-6c1b-546d-b970-52b5ee1b5605,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18QrNZo4VgX8ZvOavV,right,2026-04-26T21:32:19Z,9455,quick_match,10,Music,Rock,Madrid,medio
42314b8b-02d2-5e18-ba1d-424a6239bf8a,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,Z698xZ2qZ1kFaf3bs,right,2026-05-01T05:00:44Z,12450,quick_match,11,Music,Rock,Vilanova i la Geltrú,medio
0a7a7cc3-6277-56f5-917f-10a45ff98f33,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Q_s67hYfv8ZvRsLg,right,2026-05-01T04:26:38Z,12313,quick_match,17,Family,Exhibition,Jerez de la Frontera,medio
d98f3cdc-95e5-5504-8818-63409cf1ea84,605aea32-8bd6-5094-8b7b-7cc83a979e56,music_pop_rock_local,LvZ18Qbc8EkDV-ZZv9oca,left,2026-04-29T00:19:11Z,2160,quick_match,15,Music,Pop,Madrid,alto
