user_id,total_swipes_30d,total_right_swipes_30d,right_swipe_rate_30d,avg_dwell_ms_30d,avg_right_dwell_ms_30d,distinct_segments_liked_30d,distinct_genres_liked_30d,distinct_cities_liked_30d,local_like_rate_30d,local_swipe_share_30d,avg_days_until_event_liked_30d,avg_price_mid_liked_30d,median_price_mid_liked_30d,avg_price_mid_disliked_30d,chat_swipe_share_30d,chat_right_rate_30d,days_since_last_right_swipe_30d,like_rate_segment_music_30d,like_rate_segment_sports_30d,like_rate_segment_arts_theatre_30d,like_rate_segment_family_30d,like_rate_genre_rock_30d,like_rate_genre_pop_30d,like_rate_genre_electronic_30d,like_rate_genre_urban_30d,like_rate_genre_football_30d,like_rate_genre_basketball_30d,like_rate_genre_tennis_30d,like_rate_genre_theatre_30d,like_rate_genre_musical_30d,like_rate_genre_comedy_30d,like_rate_genre_classical_30d,like_rate_genre_kids_30d,like_rate_genre_circus_30d,like_rate_genre_exhibition_30d,total_swipes_90d,total_right_swipes_90d,right_swipe_rate_90d,avg_dwell_ms_90d,avg_right_dwell_ms_90d,distinct_segments_liked_90d,distinct_genres_liked_90d,distinct_cities_liked_90d,local_like_rate_90d,local_swipe_share_90d,avg_days_until_event_liked_90d,avg_price_mid_liked_90d,median_price_mid_liked_90d,avg_price_mid_disliked_90d,chat_swipe_share_90d,chat_right_rate_90d,days_since_last_right_swipe_90d,like_rate_segment_music_90d,like_rate_segment_sports_90d,like_rate_segment_arts_theatre_90d,like_rate_segment_family_90d,like_rate_genre_rock_90d,like_rate_genre_pop_90d,like_rate_genre_electronic_90d,like_rate_genre_urban_90d,like_rate_genre_football_90d,like_rate_genre_basketball_90d,like_rate_genre_tennis_90d,like_rate_genre_theatre_90d,like_rate_genre_musical_90d,like_rate_genre_comedy_90d,like_rate_genre_classical_90d,like_rate_genre_kids_90d,like_rate_genre_circus_90d,like_rate_genre_exhibition_90d,right_swipe_rate_delta_30_vs_90,total_swipes_delta_30_vs_90
0aec7a25-3a5b-4451-98c6-b4e6e04d62b3,4,3,0.75,3339.5,3709.333333333333,1,1,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0.75,3339.5,3709.333333333333,1,1,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1a4bd7e1-aa2e-4134-9dc4-341e21e58d03,500,62,0.124,3690.1799999999994,9389.951612903224,4,6,6,0.0,0.0,5.306451612903226,0.0,0.0,0.0,0.0,0.0,0,0.11594202898550725,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,62,0.124,3690.1799999999994,9389.951612903224,4,6,6,0.0,0.0,5.306451612903226,0.0,0.0,0.0,0.0,0.0,0,0.11594202898550725,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2a7e98ee-023f-4f75-8d54-aec944128fb0,492,79,0.16056910569105692,3941.5711382113795,9155.924050632912,4,6,6,0.0,0.0,4.924050632911393,0.0,0.0,0.0,0.0,0.0,0,0.16176470588235295,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492,79,0.16056910569105692,3941.5711382113795,9155.924050632912,4,6,6,0.0,0.0,4.924050632911393,0.0,0.0,0.0,0.0,0.0,0,0.16176470588235295,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4aed7333-4722-49e5-99ea-d005b6bbc706,500,131,0.262,4722.927999999999,9918.175572519087,4,5,8,0.0,0.0,5.061068702290078,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,131,0.262,4722.927999999999,9918.175572519087,4,5,8,0.0,0.0,5.061068702290078,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4b0f7bce-40dd-44e7-a81c-c6a2d410ccbb,500,70,0.14,3742.0140000000006,8938.228571428572,4,4,3,0.0,0.0,5.428571428571427,0.0,0.0,0.0,0.0,0.0,0,0.14492753623188406,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,70,0.14,3742.0140000000006,8938.228571428572,4,4,3,0.0,0.0,5.428571428571427,0.0,0.0,0.0,0.0,0.0,0,0.14492753623188406,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5c3975fb-035b-4c72-9ce6-f5b54887395d,4,2,0.5,1174.75,1638.5,2,1,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.5,1174.75,1638.5,2,1,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cba53f69-0037-4677-9812-c42bb0ab5766,2,2,1.0,2013.0,2013.0,2,2,2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,2013.0,2013.0,2,2,2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cd03ac14-cb6b-45ca-83ba-4faa8e5b28dd,496,78,0.15725806451612903,4009.6754032258086,9950.730769230771,4,5,5,0.0,0.0,5.102564102564102,0.0,0.0,0.0,0.0,0.0,0,0.15942028985507245,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,78,0.15725806451612903,4009.6754032258086,9950.730769230771,4,5,5,0.0,0.0,5.102564102564102,0.0,0.0,0.0,0.0,0.0,0,0.15942028985507245,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
d1218c0a-a30f-4336-a429-7227c1fafce4,500,56,0.112,3749.0260000000003,9607.517857142859,4,4,6,0.0,0.0,4.446428571428571,0.0,0.0,0.0,0.0,0.0,0,0.08695652173913043,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,56,0.112,3749.0260000000003,9607.517857142859,4,4,6,0.0,0.0,4.446428571428571,0.0,0.0,0.0,0.0,0.0,0,0.08695652173913043,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e33f2f3a-5313-4fd0-8858-75a71bae639c,500,132,0.264,4439.326000000004,8594.11363636364,4,6,7,0.0,0.0,5.446969696969698,0.0,0.0,0.0,0.0,0.0,0,0.2753623188405797,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,132,0.264,4439.326000000004,8594.11363636364,4,6,7,0.0,0.0,5.446969696969698,0.0,0.0,0.0,0.0,0.0,0,0.2753623188405797,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
