user_id,home_city,synthetic_persona,cluster_id,distance_to_centroid,distance_to_next_centroid
user_0001,Barcelona,music_local_budget,0,6.092735,7.346449
user_0002,Malaga,music_local_budget,0,6.221216,8.690903
user_0003,Sevilla,music_local_budget,0,6.871905,7.682433
user_0004,Madrid,music_local_budget,0,6.51434,8.185641
user_0005,Bilbao,music_local_budget,0,6.337004,7.430322
user_0006,Barcelona,music_local_budget,0,6.54898,8.805563
user_0007,Bilbao,music_local_budget,0,6.217656,8.905009
user_0008,Bilbao,music_local_budget,0,8.036702,8.684826
user_0009,Malaga,music_local_budget,0,8.567509,9.132315
user_0010,Sevilla,music_local_budget,0,6.614783,8.607648
user_0011,Bilbao,music_local_budget,0,6.506238,9.270062
user_0012,Barcelona,music_local_budget,0,5.568936,7.248844
user_0013,Barcelona,music_local_budget,0,6.363537,8.513636
user_0014,Valencia,music_local_budget,0,8.25392,10.422627
user_0015,Malaga,music_local_budget,0,8.740228,9.952567
user_0016,Valencia,music_local_budget,0,8.534523,9.662199
user_0017,Bilbao,music_local_budget,0,5.60952,8.214251
user_0018,Barcelona,music_local_budget,0,6.236693,8.064156
user_0019,Sevilla,music_local_budget,0,6.752659,7.025692
user_0020,Barcelona,music_local_budget,0,7.026083,9.708883
user_0021,Madrid,music_local_budget,0,6.804104,8.519806
user_0022,Valencia,music_local_budget,0,5.609143,7.39618
user_0024,Barcelona,music_local_budget,0,6.484727,9.252731
user_0025,Sevilla,music_local_budget,0,4.633396,6.910421
user_0026,Madrid,music_local_budget,0,8.190414,8.809846
user_0027,Valencia,music_local_budget,0,5.760738,8.963114
user_0028,Valencia,music_local_budget,0,6.54972,7.361587
user_0029,Barcelona,music_local_budget,0,6.043607,8.695943
user_0030,Sevilla,music_local_budget,0,7.369719,9.208359
user_0031,Bilbao,music_local_budget,0,6.19652,8.245047
user_0032,Sevilla,music_local_budget,0,5.608679,8.420873
user_0033,Barcelona,music_local_budget,0,6.284229,7.745467
user_0034,Valencia,music_local_budget,0,6.272089,6.707416
user_0035,Barcelona,music_local_budget,0,7.214432,7.992809
user_0036,Malaga,music_local_budget,0,5.894153,7.707553
user_0037,Barcelona,music_local_budget,0,6.170763,7.462713
user_0038,Bilbao,music_local_budget,0,5.898968,7.413239
user_0039,Madrid,music_local_budget,0,6.828412,8.806898
user_0040,Madrid,music_local_budget,0,6.206262,7.370129
user_0044,Malaga,sports_travel_premium,0,7.925429,8.584188
user_0157,Madrid,electronic_night_explorer,0,6.140816,8.060864
user_0158,Valencia,electronic_night_explorer,0,7.017343,7.884217
user_0159,Bilbao,electronic_night_explorer,0,5.815014,8.903892
user_0160,Madrid,electronic_night_explorer,0,6.882079,9.108702
user_0161,Malaga,electronic_night_explorer,0,6.82643,8.488034
user_0162,Madrid,electronic_night_explorer,0,7.062269,10.286342
user_0163,Valencia,electronic_night_explorer,0,6.387646,7.834818
user_0164,Valencia,electronic_night_explorer,0,6.286455,9.229347
user_0165,Malaga,electronic_night_explorer,0,6.711533,8.492462
user_0166,Bilbao,electronic_night_explorer,0,5.866179,8.62922
user_0167,Sevilla,electronic_night_explorer,0,5.669282,8.655888
user_0168,Valencia,electronic_night_explorer,0,7.208712,8.813846
user_0169,Madrid,electronic_night_explorer,0,5.673192,7.871416
user_0170,Bilbao,electronic_night_explorer,0,7.562564,10.050688
user_0171,Malaga,electronic_night_explorer,0,7.529919,10.423291
user_0172,Bilbao,electronic_night_explorer,0,5.528939,7.088431
user_0173,Madrid,electronic_night_explorer,0,7.482756,9.276719
user_0174,Madrid,electronic_night_explorer,0,6.142318,8.8508
user_0175,Malaga,electronic_night_explorer,0,7.502915,8.853345
user_0177,Barcelona,electronic_night_explorer,0,7.204663,7.629512
user_0178,Barcelona,electronic_night_explorer,0,6.577607,8.156994
user_0179,Valencia,electronic_night_explorer,0,6.048971,8.820528
user_0180,Valencia,electronic_night_explorer,0,6.068163,8.641655
user_0181,Bilbao,electronic_night_explorer,0,5.756864,8.361532
user_0182,Sevilla,electronic_night_explorer,0,6.798765,7.795835
user_0183,Sevilla,electronic_night_explorer,0,6.134735,8.772404
user_0184,Malaga,electronic_night_explorer,0,5.961795,8.658142
user_0185,Valencia,electronic_night_explorer,0,5.73279,7.033776
user_0186,Malaga,electronic_night_explorer,0,7.011391,9.772119
user_0187,Valencia,electronic_night_explorer,0,9.422157,11.083389
user_0188,Malaga,electronic_night_explorer,0,6.078029,8.186522
user_0189,Madrid,electronic_night_explorer,0,6.896422,10.656878
user_0190,Barcelona,electronic_night_explorer,0,6.366718,9.476276
